title,primary_field,publisher,2000,2005,2010,2015,2020
Clinical Implication of Energy Loss Coefficient in Patients With Severe Aortic Stenosis Diagnosed by Doppler Echocardiography,Radiology,The Japanese Circulation Society,,,,,-1.2819343457956478
Clinical Implications and Economic Impact of Accuracy Differences among Commercially Available Blood Glucose Monitoring Systems,Intensive Care Medicine,SAGE Publications,,,,,-1.2819343457956478
Clinical Methods for The Study of Regulation of Breathing,Medicine,Chest,-1.897119984885881,,,,
Clinical Needs Of IMAC,Medicine,IEEE,,,,-1.897119984885881,
"Clinical Pharmacology, Metabolism, and Tissue Distribution of 90Y-Labeled Monoclonal Antibody B72.3 After Intraperitoneal Administration",Biology,Oxford University Press,,,,-1.897119984885881,
Clinical Presentation: A Critical Factor in ischemic Heart Disease,Medicine,Chest,-1.897119984885881,-1.897119984885881,,,
Clinical Review of Nucleus Caudalis DorsaI Root Entry Zone Lesions for Facial Pain,Medicine,Karger Publishers,,,-1.897119984885881,,
Clinical Study of Ovarian Metastasis from the Colorectal Cancer,Oncology,The Japan Society of Coloproctology,,,-1.897119984885881,,
Clinical Toxicology Pharmacokinetics of 13-Cis-Retinoic Acid Administered Chronically at Low Doses Expected for Cancer Chemoprevention Trials,Pharmacology,Humana Press,,-1.897119984885881,-1.897119984885881,,
Clinical and biological correlates of panic states.,Psychology,Prog Neuropsychopharmacol Biol Psychiatry,,,-1.897119984885881,,
Clinical and epidemiological features of 33 imported Strongyloides stercoralis infections.,Tropical medicine,Oxford University Press,,,,,-1.647659125254298
Clinical and microbiologic effects of single‐dose metronidazole or scaling and root planing in treatment of adult periodontitis,Antimicrobial,Blackwell Publishing Ltd,,-1.897119984885881,-1.897119984885881,,
Clinical and prognostic significance of chromosomal abnormalities in childhood acute myeloid leukemia de novo,Biology,Nature Publishing Group,-0.9522417961598136,-0.5064601662563507,0.0035975211538416896,0.1061489547580159,-0.8938510452419841
Clinical application of bilateral high temporal and spatial resolution dynamic contrast-enhanced magnetic resonance imaging of the breast at 7 T,Radiology,Springer Berlin Heidelberg,,,,,-1.2819343457956478
Clinical application of removable partial dentures using thermoplastic resin. Part II: Material properties and clinical features of non-metal clasp dentures,Materials Science,Elsevier,,,,,-1.2819343457956478
Clinical applications of image fusion for electrophysiology procedures,Electrophysiology,IEEE,,,,-1.2819343457956478,-1.2819343457956478
Clinical aspects of islet B-cell function in non-insulin-dependent diabetes mellitus.,Endocrinology,Diabetes Metab Rev,,-1.897119984885881,-1.897119984885881,,
Clinical assessment of eustachian tube ventilatory function,Medicine,"John Wiley & Sons, Inc.",-1.897119984885881,,,,
Clinical characterization of schizophrenic patients and cerebral asymmetry: Review and hypothesis,Developmental psychology,Elsevier,-1.897119984885881,-1.897119984885881,,,
Clinical diversity of sickle cell anemia: Genetic and cellular modulation of disease severity,Biology,"Wiley Subscription Services, Inc., A Wiley Company",-1.897119984885881,-1.897119984885881,,,
Clinical effects of Garcinia kola in knee osteoarthritis.,Medical ethics,BioMed Central,,,,-1.5429481711652673,-1.5429481711652673
Clinical effects of benzydamine hydrochloride gargle (NIK-237) for the painful disease of oral mucosa and postoperative pain,Pathology,JAPANESE SOCIETY OF ORAL THERAPEUTICS AND PHARMACOLOGY,,,-1.897119984885881,,
Clinical evaluation of a single-wavelength fractional laser and a novel multi-wavelength fractional laser in the treatment of photodamaged skin†,Dermatology,Lasers Surg Med,,,,-0.9522417961598136,-0.9522417961598136
Clinical evaluation of an acellular allograft dermal matrix in full-thickness burns,Plastic surgery,J Burn Care Rehabil,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Clinical evaluation of pivmecillinam in intractable urinary-tract infections with complications. A comparative study with amoxicillin by a randomized double-blind technique.,Intensive Care Medicine,Japan Antibiotics Research Association,-1.897119984885881,,,,
Clinical experience with a 3D surface patient setup system for alignment of partial-breast irradiation patients,Radiation therapy,Elsevier,,,,-1.2819343457956478,-1.2819343457956478
Clinical importance of cystic fibrosis-related diabetes,Endocrinology,Elsevier,,,-1.2819343457956478,-0.9038682118755978,-0.9038682118755978
Clinical indicators for severe prognosis of scrub typhus,Alternative medicine,Dove Press,,,,,-1.2819343457956478
Clinical laboratory determination of antithrombin III. A new semi-automated method.,Surgery,Am J Clin Pathol,-1.897119984885881,,,,
"Clinical manifestations of tularemia in Japan — Analysis of 1,355 cases observed between 1924 and 1987",Medicine,Infection,,,,-1.897119984885881,
Clinical measurement of dental anxiety.,Psychiatry,Blackwell Publishing Ltd,,-1.897119984885881,-1.897119984885881,,
Clinical observation on the effect of dexamethasone and chinese herbal decoction for purgation in severe acute pancreatitis patients,Alternative medicine,Chinese Association of Traditional and Western Medicine,,,,,-1.2819343457956478
Clinical pharmacy interventions by community pharmacists during the dispensing process.,Interdisciplinarity,Wiley-Blackwell,,-1.2819343457956478,-0.9522417961598136,-0.9522417961598136,-0.6667487067054143
"Clinical psychology, irrationalism, and the erosion of excellence.",Psychology,Am Psychol,-1.897119984885881,,,,
Clinical results of RF capacitive hyperthermia combined with radiation for abdominal and pelvic deep-seated tumors: analysis of prognostic factors in thermoradiotherapy,Medicine,Nihon Igaku Hoshasen Gakkai Zasshi,,,-1.897119984885881,,
Clinical role of indium-111 antimyosin imaging,Myocardial infarction,Eur J Nucl Med,,,,-1.897119984885881,
"Clinical study of Ceftazidime (CAZ, Modacin®) in various infections in the field of oral surgery",Medicine,Japanese Society of Oral and Maxillofacial Surgeons,,,-1.897119984885881,,
Clinical toxocity of theophylline in relation to cigarette smoking. A report from the Boston Collaborative Drug Surveillance Program.,Medicine,American College of Chest Physicians,-1.897119984885881,,,,
Clinical trials with etanidazole (SR-2508) by the radiation therapy oncology group (RTOG),Radiation therapy,Elsevier,,,,-1.897119984885881,
Clinical uroradiologic conference,Endocrinology,Elsevier,,,,-1.897119984885881,
Clinical use of a nonferromagnetic needle for magnetic resonance-guided biopsy,Radiology,Gastrointest Radiol,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,,
"Clinical uses of mental imagery: Experimental foundations, theoretical misconceptions, and research issues.",Psychology,Psychol Bull,-1.897119984885881,-1.897119984885881,,,
Clinical utility of the dexamethasone suppression test assessed by plasma and salivary cortisol determinations,Psychology,Elsevier,,-1.897119984885881,-1.897119984885881,,
"Clinical, bronchoscopic, histopathologic, diagnostic imaging, and arterial oxygenation findings in West Highland White Terriers with idiopathic pulmonary fibrosis.",Radiology,Blackwell Publishing Inc,,,,-1.2819343457956478,-1.2819343457956478
Clinically relevant concentrations of verapamil do not enhance the sensitivity of human bone marrow CFU-GM to adriamycin and VP16.,Pharmacology,Nature Publishing Group,,,-1.897119984885881,,
Clinico-pathological study on macular mutant mouse,Biology,Acta Neuropathol,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,,
Clinicopathological conference: An adolescent girl with severe mental impairment and mucopolysacchariduria,Biology,"Wiley Subscription Services, Inc., A Wiley Company",,-1.897119984885881,,,
Clinics in Rheumatic Diseases. Seronegative Spondyloarthropathies.,Text mining,BMJ Group,,-1.897119984885881,-1.897119984885881,,
Clinopyroxenes from Somma-Vesuvius: Implications of Crystal Chemistry and Site Configuration Parameters for Studies of Magma Genesis,Earth science,Oxford University Press,,-1.897119984885881,,,
Clique-to-Clique Distance Computation Using a Specific Architecture,Clique,Springer,,,,-1.2819343457956478,-1.2819343457956478
Clock face drawing in children with attention-deficit/hyperactivity disorder,Psychology,Oxford University Press,,,-1.2819343457956478,-1.2819343457956478,
Clonal evolution with isodicentric Ph1 chromosome in Ph1-positive CML: Karyotypic conversion after bone marrow transplantation,Biology,Blut,,-1.897119984885881,,,
Clonal heterogeneity of HLA-B27 cellular allo-recognition. Delineation of immunodominant sites,Biology,WILEY‐VCH Verlag GmbH,,,-1.897119984885881,,
Clonal propagation of Picrorhiza kurroa royle ex benth. by shoot tip culture.,Tissue culture,Plant Cell Rep,,,-1.897119984885881,,
Cloning and Characterization of Ribosomal RNA Gene of Physarum polycephalum,28S ribosomal RNA,Oxford University Press,-1.897119984885881,-1.897119984885881,,,
Cloning and analysis of two alleles of theILV3 gene from Saccharomyces carlsbergensis,Thallophyte,Carlsberg Laboratory,,-1.897119984885881,-1.897119984885881,,
Cloning and expression of various staphylococcal genes encoding urease in Staphylococcus carnosus,Molecular cloning,Blackwell Publishing Ltd,,,,-1.897119984885881,
Cloning and sequence analysis reveal structural variation among related zein genes in maize,Biology,Cell Press,-1.2819343457956478,-1.2819343457956478,,,
Cloning and sequencing of a dextranase-encoding cDNA from Penicillium minioluteum.,Thallophyte,Blackwell Publishing Ltd,,,,,-1.897119984885881
Cloning of a negative transcription factor that binds to the upstream conserved region of moloney murine leukemia virus,Biology,American Society for Microbiology,-1.2819343457956478,-0.9038682118755978,-0.6667487067054143,-0.6667487067054143,-1.6667487067054143
Cloning of bovine prolactin cDNA and evolutionary implications of its sequence,Biology,DNA,-1.897119984885881,-1.897119984885881,,,
Cloning of novel members of the steroid hormone receptor superfamily,Hormone receptor,J Steroid Biochem Mol Biol,,,,-1.897119984885881,
Cloning of the Human SIX1 Gene and Its Assignment to Chromosome 14,Biology,Genomics,,,-1.5429481711652673,-1.5429481711652673,-1.5429481711652673
Cloning of the cocaine-sensitive bovine dopamine transporter,Biology,National Academy of Sciences,-0.9038682118755978,-0.9038682118755978,-0.9038682118755978,-0.9038682118755978,
Cloning of the protein D2 gene of Pseudomonas aeruginosa and its functional expression in the imipenem‐resistant host,Minimum inhibitory concentration,FEBS Lett,,,,-1.897119984885881,
Cloning the wild mouflon,Biodiversity,Blackwell Publishing Ltd,,,,-1.2819343457956478,-1.2819343457956478
"Cloning, Expression and Site-Directed Mutagenesis of the cDNA for Human Placental NAD+-Dependent 15-Hydroxyprostaglandin Dehydrogenase",Molecular biology,Springer US,,,,-1.897119984885881,
"Cloning, characterization, and expression of the spoVB gene of Bacillus subtilis.",Biology,American Society for Microbiology,,,,-1.897119984885881,
"Cloning, sequencing and expression of a Bacillus bacteriolytic enzyme in Escherichia coli",Biology,Mol Gen Genet,,,-1.897119984885881,,
Closed Loop D.C. Field Fibre Optic Magnetometer,Electronic engineering,International Society for Optics and Photonics,,-1.897119984885881,,,
Closed loop problems in biomechanics. Part I—A classification system,Control engineering,Elsevier,-1.897119984885881,-1.897119984885881,,,
Closed-form Grammians and model reduction for flexible space structures,Control engineering,IEEE,,,-1.897119984885881,,
Closed-loop identification via output fast sampling,Control engineering,"Elsevier Science Ltd., Oxford, England",,,-1.5429481711652673,-1.5429481711652673,-1.5429481711652673
Closing Remarks by Session Chairman,Telecommunications,ASTM International,-1.897119984885881,,,,
"Closing the ""Achievement Gap"" of Mexican Americans: A Question of Language, Learning Style, or Economics?.",Mathematics education,Taylor & Francis Group,,,-1.897119984885881,,
Closing the open sea: Development of fishery management in four Icelandic fisheries,Fishery,Blackwell Publishing Ltd,,,,,-1.2819343457956478
Closure of autobiographical memories: The effects of written recounting from first- or third-person visual perspective,Psychology,Taylor & Francis Group,,,,,-1.2819343457956478
Closure of the neural tube in the cephalic region of the mouse embryo.,Biology,"Wiley Subscription Services, Inc., A Wiley Company",-1.897119984885881,,,,
Closure of the squid cornea: a muscular basis for embryonic tissue movement.,Biology,"Wiley Subscription Services, Inc., A Wiley Company",-1.897119984885881,-1.897119984885881,,,
Cloud Coverage Acts as an Amplifier for Ecological Light Pollution in Urban Ecosystems,Biology,Public Library of Science,,,,-1.2819343457956478,-1.2819343457956478
Cloud detection based on decision tree over Tibetan Plateau with MODIS data,Meteorology,International Society for Optics and Photonics,,,,,-1.2819343457956478
Cloud reflectance with laser beam illumination,Köhler illumination,Optical Society of America,-1.897119984885881,,,,
"Clover cutworm, Scotogramma trifolii: a semidefined larval diet and colony maintenance.",Biology,The Oxford University Press,-1.897119984885881,,,,
"Clovoxamine and fluvoxamine-2 biogenic amine re-uptake inhibiting antidepressants: Quantitative EEG, psychometric and pharmacokinetic studies in man",Psychology,J Neural Transm,-1.897119984885881,,,,
Cluster algebras via cluster categories with infinite-dimensional morphism spaces,Combinatorics,Cambridge University Press,,,,-1.2819343457956478,-1.2819343457956478
Cluster analysis of soft X-ray spectromicroscopy data.,Crystallography,Ultramicroscopy,,,-1.2819343457956478,-0.9038682118755978,-0.9038682118755978
Cluster effects in high-order harmonics generated by ultrashort light pulses,Atomic physics,American Institute of PhysicsAIP,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Cluster expansion of the wave function. Valence excitations and ionizations of pyridine,Atomic physics,American Institute of Physics,,,-1.897119984885881,,
Cluster formation in monolayer cultures of normal and diseased human muscle.,Biology,Exp Neurol,-1.897119984885881,-1.897119984885881,,,
"Cluster of wound botulism in california: Clinical, electrophysiologic, and pathologic study",Psychology,"John Wiley & Sons, Inc.",,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Cluster stability scores for microarray data in cancer studies,Chip,BioMed Central,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Cluster synchronization in nonlinearly coupled delayed networks of non-identical dynamic systems,Control theory,Pergamon,,,,,-1.2819343457956478
Cluster-based metal–organic frameworks as sensitive and selective luminescent probes for sensing nitro explosives,Stereochemistry,The Royal Society of Chemistry,,,,,-0.9038682118755978
Cluster: an informal report,Natural language processing,ACM,,,,-1.897119984885881,
Clustering Syntactic Positions with Similar Semantic Requirements,Natural language processing,MIT Press,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Clustering in Pattern Recognition,Feature,Springer Netherlands,-1.897119984885881,-1.897119984885881,,,
Clustering of the Diffuse Infrared Light from the COBE DIRBE maps. III. Power spectrum analysis and excess isotropic component of fluctuations.,Astronomy,IOP Publishing,,,,-1.5429481711652673,-1.5429481711652673
Clustering of the IR Background Light with Spitzer: Contribution from Resolved Sources,Astronomy,IOP Publishing,,,,-1.5429481711652673,-1.5429481711652673
Clustering of the optical-afterglow luminosities of long gamma-ray bursts,Luminosity,EDP Sciences,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Clusters in regional tourism An Australian case,Location theory,Elsevier,,,,-0.9038682118755978,-0.9038682118755978
Cluster‐Expansion mit Cp(CO)Rh‐Fragmenten,Stereochemistry,WILEY‐VCH Verlag GmbH,,-1.897119984885881,,,
Co-Regulation of NF-κB and Inflammasome-Mediated Inflammatory Responses by Myxoma Virus Pyrin Domain-Containing Protein M013,Protein–protein interaction,Public Library of Science,,,,-1.2819343457956478,-1.2819343457956478
Co-stimulatory members of the TNFR family: keys to effective T-cell immunity?,Biology,Nature Publishing Group,,,-1.2819343457956478,-0.9038682118755978,-0.9038682118755978
Coagulation profile in different stages of pregnancy and under consideration of placental expulsion in dairy cattle.,Medicine,Blackwell Publishing Ltd,,,-1.897119984885881,,
Coagulation profile of dairy cattle in the periparturient period.,Endocrinology,Blackwell Publishing Ltd,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,,
Coal alternative fuel production from municipal solid wastes employing hydrothermal treatment,Municipal solid waste,Elsevier,,,,,-1.2819343457956478
Coalition formation in triads with single-peaked payoff curves,Public Relations,"John Wiley & Sons, Ltd.",-1.897119984885881,,,,
Coastal management as a bargaining process,Fishery,Taylor & Francis Group,-1.897119984885881,-1.897119984885881,,,
Coated crossed gratings,Optical coating,IOP Publishing,-1.897119984885881,-1.897119984885881,,,
Coating flow of viscous Newtonian liquids on a rotating vertical disk,Classical mechanics,American Institute of Physics,,,,,-1.2819343457956478
Coating of Pharmaceutical Powders by Fluidized Bed Process. I. Aqueous Enteric Coating with Methacrylic Acid-Ethylacrylate Copolymer and the Dissolution Behavior of Products,Chemistry,The Pharmaceutical Society of Japan,,-1.897119984885881,-1.897119984885881,,
"Cobalt‐Catalyzed Sequential Cyclization/Cross‐Coupling Reactions of 6‐Halo‐1‐hexene Derivatives with Grignard Reagents and Their Application to the Synthesis of 1,3‐Diols.",Stereochemistry,Elsevier,,,,-1.7646308018398023,-1.7646308018398023
Cocaine Plasma Concentrations in Persons Admitted to Outpatient Treatment: Relationship to Treatment Outcome,Medicine,Elsevier,,-1.897119984885881,-1.897119984885881,,
Cocaine binges differentially alter striatal preprodynorphin and zif/268 mRNAs.,Psychology,Elsevier,,,,-1.5429481711652673,
"Cocaine-induced CREB phosphorylation in nucleus accumbens of cocaine-sensitized rats is enabled by enhanced activation of extracellular signal-related kinase, but not protein kinase A",Cancer research,Blackwell Science Ltd,,,-1.2819343457956478,-0.9038682118755978,-0.9038682118755978
Coccidioidomycosis in the llama: case report and epidemiologic survey.,Pathology,J Am Vet Med Assoc,-1.897119984885881,-1.897119984885881,,,
Coccolithophore ecology in the tropical and subtropical Atlantic Ocean: New perspectives from the Atlantic Meridional Transect (AMT) programme,Biology,Pergamon,,,,,-1.2819343457956478
Cochlear implantation following temporal bone fracture.,Fracture,Cambridge University Press,,,,-1.2819343457956478,-1.2819343457956478
Cochlear mechanisms at low frequencies in the guinea pig,Very low frequency,Arch Otorhinolaryngol,-1.897119984885881,-1.897119984885881,,,
Cocycles and spectra,Ergodic theory,Institut Mittag-Leffler,-1.897119984885881,,,,
Coding to improve SNR in magnetic recording,Electronic engineering,IET,,,,,-1.897119984885881
Codon usage in the Mycobacterium tuberculosis complex,Molecular cloning,Microbiology,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
"Coelenterate neuropeptides : Structure, action and biosynthesis",Biology,Society for Integrative and Comparative Biology,,,,-1.897119984885881,
Coelomic Distention in Channel Catfish Fingerlings,Biology,Taylor & Francis Group,-1.897119984885881,-1.897119984885881,,,
Coevolution Based Adaptive Monte Carlo Localization (CEAMCL),Sample size determination,InTech,,,,-0.9038682118755978,-0.9038682118755978
Coevolutionary interactions in a host-parasite system,Biology,Blackwell Science Ltd,,,-1.2819343457956478,-0.9277625320750339,-0.701828756622974
Coexistence of Fusion Receptors for Human T‐Cell Leukemia Virus Type‐I (HTLV‐I) and Human Immunodeficiency Virus Type‐1 (HIV‐1) on MOLT‐4 Cells,Tropism,Center For Academic Publications Japan,,,,-1.897119984885881,
Coexistence of K-ras mutations and HPV infection in colon cancer,Biology,BioMed Central,,,,-1.2819343457956478,-1.2819343457956478
Coexistent gout and rheumatoid arthritis: “A red marker?”,Biology,"John Wiley & Sons, Inc.",-1.897119984885881,,,,
Cognitive Architecture and Instructional Design,Psychology,Plenum Press,,-1.2819343457956478,-1.2819343457956478,-0.7576857016975165,-0.32330925009493205
Cognitive Characteristics of Delinquents: Four Subgroups of Male Subjects.,Psychology,Sage Publications,-1.897119984885881,,,,
Cognitive Versus Reinforcement Views of Intrinsic Motivation,Self-determination theory,Academy of Management,-1.897119984885881,,,,
Cognitive and psychophysiologic response to doxepin and chlordiazepoxide,Psychology,Elsevier,-1.897119984885881,,,,
Cognitive and socioemotional caregiving in developing countries.,Psychology,Blackwell Publishing Ltd,,,,-0.47348247341316935,-0.47348247341316935
Cognitive and symptom profiles in Asperger's syndrome and high-functioning autism.,Psychology,Blackwell Publishing Asia,,,,-1.2819343457956478,-1.2819343457956478
Cognitive attributes of depression in children and adolescents.,Psychology,J Consult Clin Psychol,,-1.2819343457956478,-1.2819343457956478,,
Cognitive behavior modification of hyperactivity-impulsivity and aggression : A meta-analysis of school-based studies,Psychology,American Psychological Association,,,,-1.2819343457956478,-1.2819343457956478
Cognitive capability versus system complexity in electronic maintenance,Maintenance engineering,IEEE,-1.897119984885881,-1.897119984885881,,,
Cognitive deficit or cognitive distortion in childhood depression,Psychology,J Abnorm Child Psychol,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,,
Cognitive impairment after traumatic brain injury: a functional magnetic resonance imaging study using the Stroop task.,Cognition,Springer-Verlag,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Cognitive impairment due to AIDS-related complex and its response to psychostimulants.,Psychology,Elsevier,,,-1.897119984885881,,
Cognitive modification and systematic desensitization with test anxious high school students,Psychology,American Psychological Association Inc.,-1.897119984885881,-1.897119984885881,,,
Cognitive reserve in multiple sclerosis,Psychology,SAGE Publications,,,,,-0.9038682118755978
"Cohabitation, Marriage, and First Birth: The Interrelationship of Family Formation Events in Spain",Relative risk,"Max Planck Institute for Demographic Research, Rostock, Germany",,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Coherence effects in triplet-exciton transport via time-dependent delayed fluorescence,Optics,American Physical Society,-1.897119984885881,-1.897119984885881,,,
Coherency recognition for transient stability studies using singular points,Acceleration,IEEE,-1.897119984885881,,,,
Coherent Electronic Coupling versus Localization in Individual Molecular Dimers,Atomic physics,American Physical Society,,,,-1.2819343457956478,-1.2819343457956478
Coherent and collimated blue light generated by four-wave mixing in Rb vapour,Four-wave mixing,Optical Society of America,,,,-0.47348247341316935,-0.47348247341316935
Coherent. gamma. radiation production by interaction between a relativistic electron beam and two interfering laser fields,Atomic physics,American Physical Society,-1.897119984885881,-1.897119984885881,,,
Cohesin-SA1 deficiency drives aneuploidy and tumourigenesis in mice due to impaired replication of telomeres,Carcinogen,European Molecular Biology Organization,,,,-1.647659125254298,-1.647659125254298
Cohort Profile: Shahroud Eye Cohort Study,Ophthalmology,Oxford University Press,,,,,-1.647659125254298
Coil design considerations for deep transcranial magnetic stimulation,Energy,Elsevier,,,,,-0.9038682118755978
Coincidence probabilities for spacecraft gravitational wave experiments - Massive coalescing binaries,Classical mechanics,IOP,,,,-1.897119984885881,
Colcemid effects on B16 melanoma cell progression and aberrant mitotic division,Biology,"Wiley Subscription Services, Inc., A Wiley Company",,-1.897119984885881,-1.897119984885881,,
Colchicine for Large Pericardial Effusion,Endocrinology,"Wiley Periodicals, Inc.",,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Cold Agglutinin Syndrome Associated with a 2009 Influenza A H1N1 Infection,Virology,Elsevier,,,,-1.2819343457956478,-1.2819343457956478
Cold Crack - Low Temperature Flexibility,Cantilever,SAGE Publications,-1.897119984885881,,,,
Collaborative learning: a case study for CS1 at Grinnell College and Austin,Collaborative learning,ACM,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Collagen Q - A potential target for autoantibodies in myasthenia gravis,Endocrinology,Elsevier,,,,,-1.647659125254298
Collagenase synthesis by osteoblast-like cells,Concanavalin A,Calcif Tissue Int,-1.897119984885881,-1.897119984885881,,,
Collapse of a model for ductile reinforced concrete frames under extreme earthquake motions,Structural engineering,"John Wiley & Sons, Ltd",-1.897119984885881,,,,
Collateral Damage: Depressive Symptoms in the Partners of COPD Patients,Psychiatry,Springer US,,,,,-1.2819343457956478
Collateral Ligaments of the Tarsocrural Joint An Anatomic and Functional Study,Anatomy,Blackwell Publishing Ltd,,-1.897119984885881,,,
Collection of Health‐Economic Data Alongside Clinical Trials: Is There a Future for Piggyback Evaluations?,Simulation,Elsevier,,,,-1.2819343457956478,-1.2819343457956478
Collections Management with the Computer,Collections management,Blackwell Publishing Ltd,-1.897119984885881,,,,
Collective Motion in Silver Chalcogenides,Chemistry,WILEY‐VCH Verlag,-1.897119984885881,-1.897119984885881,,,
Collective Phenomena in a Multi-Component Gravitating System,Oscillation,Springer Netherlands,,-1.897119984885881,,,
Collective diffusion of Brownian particles with square well interaction,Classical mechanics,American Institute of Physics,,,,-1.897119984885881,
Collective excitations of 3He-B: the method of the kinetic equation,Classical mechanics,IOP Publishing,-1.897119984885881,,,,
College Men as Perpetrators of Acquaintance Rape and Sexual Assault: A Review of Recent Research,Psychology,Taylor & Francis Group,,,-1.2819343457956478,-1.2819343457956478,
College Students' Drinking Problems: 1982–1985,Psychology,SAGE Publications,,-1.897119984885881,-1.897119984885881,,
College Students’ Willingness to Reveal Risky Behaviors: The Influence of Relationship and Message Type,Psychology,Taylor & Francis Group,,,,,-1.7401162360762163
Collins Cobuild Student’s Grammar,Natural language processing,Collins,,,,-1.897119984885881,
Collisions of polyatomic molecules with solid surfaces: A semiclassical stochastic trajectory approach,Atomic physics,American Institute of PhysicsAIP,,-1.897119984885881,,,
Colloidal Synthesis of Plasmonic Metallic Nanoparticles,Gold,Springer US,,,,,-1.2819343457956478
"Colloquium on the Resolution of Disputes on New Natural Resources, held in the Peace Palace, The Hague, Netherlands, during 8–10 November 1982",Biology,Cambridge University Press,-1.897119984885881,-1.897119984885881,,,
Colocalization of oxytocin and neurophysin-I/II and of vasopressin and neurophysin-III in neurons of the sheep hypothalamus. An immunohistochemical study.,Immunohistochemistry,Neurosci Lett,-1.897119984885881,-1.897119984885881,,,
Colonic Tone and Motility in Patients With Irritable Bowel Syndrome,Gastroenterology,Elsevier,-1.1732011456591822,-1.1732011456591822,-1.1732011456591822,-1.0892626332338098,
Colonic motility and gastric emptying in patients with irritable bowel syndrome effect of pretreatment with octylonium bromide,Endocrinology,Dig Dis Sci,,-1.897119984885881,-1.897119984885881,,
Colony growth of human T lymphocytes in agar: effect of a soluble factor from adherent cells.,Biology,WILEY‐VCH Verlag GmbH,-1.897119984885881,,,,
Colony-forming ability in vitro and clonology of colorectal cancer,Biology,Blackwell Publishing Ltd,,,-1.897119984885881,,
Color Variation in Nymphs of Leptoglossus corculus,Biology,The Oxford University Press,-1.897119984885881,-1.897119984885881,,,
Color image authentication based on spatiotemporal chaos and SVD,Discrete mathematics,Pergamon,,,,-1.2819343457956478,-1.2819343457956478
Colorectal cancer with and without microsatellite instability involves different genes,Biology,Genes Chromosomes Cancer,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Colorimetric Determination of Seven Nonsteroidal Antiinflammatory Drugs Using 2-Nitrophenylhydrazine Hydrochloride,Pharmacology,Taylor & Francis Group,,,-1.897119984885881,,
Colorimetric and fluorometric detection of nucleic acids using cationic polythiophene derivatives.,Biochemistry,WILEY‐VCH Verlag GmbH,,,-1.0751399324829674,-0.5496963981549841,-0.35008953258039804
Colostrum production by primiparous and multiparous Holstein dairy cows and its usefulness as an estimator of full lactation milk yield,Biology,Elsevier,,,,,-1.2819343457956478
Colour Infrared Photography of the Ocular Fundus,Computer vision,Blackwell Publishing Ltd,-1.897119984885881,,,,
Column selectivity in reversed-phase liquid chromatography: IV. Type-B alkyl-silica columns,Chromatography,Elsevier,,,-1.647659125254298,-1.647659125254298,-1.647659125254298
Columnsort lives! an efficient out-of-core sorting program,Bogosort,ACM,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Combination of SHS and SPS Techniques for fabrication of fully dense ZrB2-ZrC-SiC composites,Materials Science,North-Holland,,,,,-1.2819343457956478
Combination of bexarotene and psoralen-UVA therapy in a patient with mycosis fungoides,Dermatology,Karger Publishers,,,,-0.47521719629862297,-0.47521719629862297
Combination of cyclooxygenase-2 inhibitors and oxaliplatin increases the growth inhibition and death in human colon cancer cells.,Biology,Elsevier,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
Combination therapy with aldosterone blockade and renin-angiotensin inhibitors confers organ protection.,Pharmacology,Nature Publishing Group,,,-1.5429481711652673,-1.5429481711652673,-1.5429481711652673
Combined Inhibition of Vaccinia Virus Multiplication by Inhibitors of DNA Synthesis,Biology,Karger Publishers,-1.897119984885881,-1.897119984885881,,,
Combined Molecular and Clinical Assessment of Plasmodium falciparum Antimalarial Drug Resistance in the Lao People’s Democratic Republic (Laos),Tropical medicine,American Society of Tropical Medicine and Hygiene,,,-1.5429481711652673,-1.5429481711652673,-1.5429481711652673
Combined cold- and heat-induced cholinergic urticaria,Pathology,Elsevier,,-1.897119984885881,,,
Combined dendro-documentary evidence of Central European hydroclimatic springtime extremes over the last millennium,Meteorology,Pergamon,,,,,-1.647659125254298
Combined echocardiographic and Doppler assessment of fetal congenital atrioventricular block.,Medicine,Blackwell Publishing Ltd,,-1.897119984885881,-1.897119984885881,,
Combined effects of alcohol and sleep deprivation in normal young adults,Psychology,Psychopharmacology (Berl),-1.897119984885881,,,,
